# toc conc,effluent_toc_limit,flowrate_MGD,LCOW,Total CAPEX (MGD),Total OPEX (MGD/year),SEC,Ozone_CAPEX_frac,Ozone_OPEX_frac,BAF_CAPEX_frac,BAF_OPEX_frac,UF_CAPEX_frac,UF_OPEX_frac,GAC_CAPEX_frac,GAC_OPEX_frac,UV_AOP_CAPEX_frac,UV_AOP_OPEX_frac,Cl_CAPEX_frac,Cl_OPEX_frac,Total_Opex_frac
7.000000e-03,5.000000e-01,2.500000e+01,1.276910e+00,1.212737e+02,2.374003e+01,2.252155e+00,5.092348e+00,2.183194e+00,6.394700e+00,3.989144e+00,9.826849e+00,1.354651e+01,4.714482e+00,4.257211e+01,5.572111e+00,3.508063e+00,2.211194e+00,3.893003e-01,6.618832e+01
7.000000e-03,5.750000e-01,2.500000e+01,1.230822e+00,1.212737e+02,2.244545e+01,2.252155e+00,5.283032e+00,2.264944e+00,6.634150e+00,4.138518e+00,1.019482e+01,1.405376e+01,4.891017e+00,4.042171e+01,5.780759e+00,3.639423e+00,2.293993e+00,4.038777e-01,6.492223e+01
7.000000e-03,6.500000e-01,2.500000e+01,1.194675e+00,1.212737e+02,2.143013e+01,2.252155e+00,5.442875e+00,2.333472e+00,6.834873e+00,4.263734e+00,1.050327e+01,1.447897e+01,5.039000e+00,3.861911e+01,5.955662e+00,3.749538e+00,2.363400e+00,4.160975e-01,6.386092e+01
7.000000e-03,7.250000e-01,2.500000e+01,1.165185e+00,1.212737e+02,2.060177e+01,2.252155e+00,5.580633e+00,2.392532e+00,7.007861e+00,4.371647e+00,1.076911e+01,1.484543e+01,5.166535e+00,3.706558e+01,6.106398e+00,3.844438e+00,2.423216e+00,4.266287e-01,6.294625e+01
7.000000e-03,8.000000e-01,2.500000e+01,1.140255e+00,1.212737e+02,1.990151e+01,2.252155e+00,5.702644e+00,2.444841e+00,7.161077e+00,4.467226e+00,1.100455e+01,1.517000e+01,5.279493e+00,3.568962e+01,6.239905e+00,3.928490e+00,2.476196e+00,4.359563e-01,6.213613e+01
7.000000e-03,8.750000e-01,2.500000e+01,1.118495e+00,1.212745e+02,1.929020e+01,2.252155e+00,5.813589e+00,2.492405e+00,7.300364e+00,4.554115e+00,1.121865e+01,1.546513e+01,5.382345e+00,3.443804e+01,6.361441e+00,4.005110e+00,2.524371e+00,4.444378e-01,6.139924e+01
7.000000e-03,9.500000e-01,2.500000e+01,1.098920e+00,1.212737e+02,1.874044e+01,2.252155e+00,5.917146e+00,2.536802e+00,7.430436e+00,4.635258e+00,1.141848e+01,1.574061e+01,5.478077e+00,3.327063e+01,6.474615e+00,4.076258e+00,2.569337e+00,4.523545e-01,6.071191e+01
7.000000e-03,1.025000e+00,2.500000e+01,1.080880e+00,1.212737e+02,1.823371e+01,2.252155e+00,6.015903e+00,2.579141e+00,7.554451e+00,4.712621e+00,1.160906e+01,1.600332e+01,5.569507e+00,3.215691e+01,6.582677e+00,4.144292e+00,2.612219e+00,4.599043e-01,6.005618e+01
7.000000e-03,1.100000e+00,2.500000e+01,1.063898e+00,1.212737e+02,1.775670e+01,2.252155e+00,6.111928e+00,2.620309e+00,7.675033e+00,4.787842e+00,1.179436e+01,1.625876e+01,5.658406e+00,3.107401e+01,6.687748e+00,4.210442e+00,2.653915e+00,4.672452e-01,5.941861e+01
7.000000e-03,1.175000e+00,2.500000e+01,1.047654e+00,1.212737e+02,1.730044e+01,2.252155e+00,6.206690e+00,2.660935e+00,7.794030e+00,4.862075e+00,1.197723e+01,1.651084e+01,5.746137e+00,3.000535e+01,6.791439e+00,4.275723e+00,2.695062e+00,4.744896e-01,5.878942e+01
7.000000e-03,1.250000e+00,2.500000e+01,1.031943e+00,1.212737e+02,1.685911e+01,2.252155e+00,6.301189e+00,2.701449e+00,7.912698e+00,4.936103e+00,1.215958e+01,1.676223e+01,5.833624e+00,2.893965e+01,6.894841e+00,4.340823e+00,2.736096e+00,4.817139e-01,5.816197e+01
7.000000e-03,1.325000e+00,2.500000e+01,1.016643e+00,1.212737e+02,1.642935e+01,2.252155e+00,6.396019e+00,2.742104e+00,8.031780e+00,5.010388e+00,1.234258e+01,1.701449e+01,5.921417e+00,2.787023e+01,6.998605e+00,4.406150e+00,2.777272e+00,4.889634e-01,5.753233e+01
7.000000e-03,1.400000e+00,2.500000e+01,1.001701e+00,1.212737e+02,1.600964e+01,2.252155e+00,6.491424e+00,2.783007e+00,8.151585e+00,5.085125e+00,1.252669e+01,1.726829e+01,6.009743e+00,2.679431e+01,7.102999e+00,4.471875e+00,2.818699e+00,4.962570e-01,5.689886e+01
7.000000e-03,1.475000e+00,2.500000e+01,9.871120e-01,1.212737e+02,1.559986e+01,2.252155e+00,6.587362e+00,2.824137e+00,8.272058e+00,5.160279e+00,1.271182e+01,1.752350e+01,6.098562e+00,2.571240e+01,7.207975e+00,4.537965e+00,2.860357e+00,5.035912e-01,5.626187e+01
7.000000e-03,1.550000e+00,2.500000e+01,9.729048e-01,1.212737e+02,1.520079e+01,2.252155e+00,6.683556e+00,2.865378e+00,8.392854e+00,5.235634e+00,1.289745e+01,1.777939e+01,6.187618e+00,2.462759e+01,7.313233e+00,4.604233e+00,2.902126e+00,5.109451e-01,5.562316e+01
7.000000e-03,1.625000e+00,2.500000e+01,9.591273e-01,1.212737e+02,1.481379e+01,2.252155e+00,6.779562e+00,2.906537e+00,8.513413e+00,5.310841e+00,1.308271e+01,1.803478e+01,6.276501e+00,2.354490e+01,7.418284e+00,4.670371e+00,2.943814e+00,5.182845e-01,5.498571e+01
7.000000e-03,1.700000e+00,2.500000e+01,9.458370e-01,1.212737e+02,1.444048e+01,2.252155e+00,6.874824e+00,2.947378e+00,8.633037e+00,5.385465e+00,1.326654e+01,1.828819e+01,6.364693e+00,2.247061e+01,7.522520e+00,4.735996e+00,2.985178e+00,5.255671e-01,5.435320e+01
7.000000e-03,1.775000e+00,2.500000e+01,9.330914e-01,1.212737e+02,1.408247e+01,2.252155e+00,6.968730e+00,2.987637e+00,8.750960e+00,5.459028e+00,1.344776e+01,1.853800e+01,6.451632e+00,2.141159e+01,7.625274e+00,4.800687e+00,3.025954e+00,5.327461e-01,5.372969e+01
7.000000e-03,1.850000e+00,2.500000e+01,9.209417e-01,1.212737e+02,1.374119e+01,2.252155e+00,7.060666e+00,3.027052e+00,8.866408e+00,5.531047e+00,1.362517e+01,1.878257e+01,6.536746e+00,2.037481e+01,7.725872e+00,4.864021e+00,3.065874e+00,5.397744e-01,5.311927e+01
7.000000e-03,1.925000e+00,2.500000e+01,9.094286e-01,1.212737e+02,1.341780e+01,2.252155e+00,7.150051e+00,3.065374e+00,8.978653e+00,5.601067e+00,1.379766e+01,1.902034e+01,6.619498e+00,1.936678e+01,7.823678e+00,4.925598e+00,3.104687e+00,5.466077e-01,5.252578e+01
7.000000e-03,2.000000e+00,2.500000e+01,8.985802e-01,1.212737e+02,1.311308e+01,2.252155e+00,7.236372e+00,3.102381e+00,9.087050e+00,5.668688e+00,1.396423e+01,1.924997e+01,6.699414e+00,1.839332e+01,7.918132e+00,4.985064e+00,3.142169e+00,5.532067e-01,5.195263e+01
7.650000e-03,5.000000e-01,2.500000e+01,1.365833e+00,1.216089e+02,2.620428e+01,2.259319e+00,4.848169e+00,2.102683e+00,5.978373e+00,3.729432e+00,9.187072e+00,1.266456e+01,4.407546e+00,4.616197e+01,5.209338e+00,3.279669e+00,2.067235e+00,3.639550e-01,6.830227e+01
7.650000e-03,5.750000e-01,2.500000e+01,1.310902e+00,1.216089e+02,2.466132e+01,2.259319e+00,5.051322e+00,2.190792e+00,6.228886e+00,3.885706e+00,9.572038e+00,1.319524e+01,4.592235e+00,4.390599e+01,5.427625e+00,3.417098e+00,2.153858e+00,3.792058e-01,6.697404e+01
7.650000e-03,6.500000e-01,2.500000e+01,1.268064e+00,1.216097e+02,2.345796e+01,2.259319e+00,5.221966e+00,2.264801e+00,6.439293e+00,4.016962e+00,9.895401e+00,1.364101e+01,4.747494e+00,4.201064e+01,5.611104e+00,3.532702e+00,2.226620e+00,3.920162e-01,6.585812e+01
7.650000e-03,7.250000e-01,2.500000e+01,1.233404e+00,1.216089e+02,2.248445e+01,2.259319e+00,5.368711e+00,2.328446e+00,6.620265e+00,4.129857e+00,1.017348e+01,1.402434e+01,4.880779e+00,4.038143e+01,5.768660e+00,3.631805e+00,2.289192e+00,4.030325e-01,6.489892e+01
7.650000e-03,8.000000e-01,2.500000e+01,1.204460e+00,1.216089e+02,2.167144e+01,2.259319e+00,5.497723e+00,2.384399e+00,6.779352e+00,4.229099e+00,1.041795e+01,1.436135e+01,4.998066e+00,3.894878e+01,5.907283e+00,3.719078e+00,2.344202e+00,4.127175e-01,6.405542e+01
7.650000e-03,8.750000e-01,2.500000e+01,1.179566e+00,1.216089e+02,2.097219e+01,2.259319e+00,5.613749e+00,2.434720e+00,6.922426e+00,4.318351e+00,1.063781e+01,1.466444e+01,5.103547e+00,3.766033e+01,6.031952e+00,3.797567e+00,2.393674e+00,4.214276e-01,6.329684e+01
7.650000e-03,9.500000e-01,2.500000e+01,1.157570e+00,1.216089e+02,2.035435e+01,2.259319e+00,5.720419e+00,2.480984e+00,7.053963e+00,4.400406e+00,1.083995e+01,1.494308e+01,5.200522e+00,3.647578e+01,6.146568e+00,3.869727e+00,2.439158e+00,4.294354e-01,6.259942e+01
7.650000e-03,1.025000e+00,2.500000e+01,1.137662e+00,1.216097e+02,1.979506e+01,2.259319e+00,5.820523e+00,2.524399e+00,7.177377e+00,4.477393e+00,1.102964e+01,1.520458e+01,5.291666e+00,3.536373e+01,6.254266e+00,3.937632e+00,2.481842e+00,4.369502e-01,6.194468e+01
7.650000e-03,1.100000e+00,2.500000e+01,1.119229e+00,1.216089e+02,1.927737e+01,2.259319e+00,5.916384e+00,2.565975e+00,7.295611e+00,4.551152e+00,1.121129e+01,1.545499e+01,5.378677e+00,3.429963e+01,6.357133e+00,4.002293e+00,2.522716e+00,4.441466e-01,6.131818e+01
7.650000e-03,1.175000e+00,2.500000e+01,1.101868e+00,1.216089e+02,1.878971e+01,2.259320e+00,6.009602e+00,2.606404e+00,7.410560e+00,4.622859e+00,1.138794e+01,1.569850e+01,5.463423e+00,3.326446e+01,6.457295e+00,4.065353e+00,2.562464e+00,4.511445e-01,6.070872e+01
7.650000e-03,1.250000e+00,2.500000e+01,1.085270e+00,1.216089e+02,1.832350e+01,2.259320e+00,6.101510e+00,2.646265e+00,7.523894e+00,4.693559e+00,1.156210e+01,1.593858e+01,5.546978e+00,3.224383e+01,6.556050e+00,4.127527e+00,2.601653e+00,4.580441e-01,6.010781e+01
7.650000e-03,1.325000e+00,2.500000e+01,1.069229e+00,1.216089e+02,1.787292e+01,2.259320e+00,6.193047e+00,2.685966e+00,7.636770e+00,4.763973e+00,1.173556e+01,1.617770e+01,5.630196e+00,3.122733e+01,6.654406e+00,4.189450e+00,2.640684e+00,4.649158e-01,5.950934e+01
7.650000e-03,1.400000e+00,2.500000e+01,1.053620e+00,1.216097e+02,1.743441e+01,2.259320e+00,6.284792e+00,2.725756e+00,7.749871e+00,4.834526e+00,1.190941e+01,1.641736e+01,5.713752e+00,3.020807e+01,6.753134e+00,4.251716e+00,2.679804e+00,4.718032e-01,5.890924e+01
7.650000e-03,1.475000e+00,2.500000e+01,1.038348e+00,1.216089e+02,1.700552e+01,2.259320e+00,6.377227e+00,2.765845e+00,7.863885e+00,4.905652e+00,1.208457e+01,1.665882e+01,5.797636e+00,2.918205e+01,6.852307e+00,4.314044e+00,2.719217e+00,4.787423e-01,5.830516e+01
7.650000e-03,1.550000e+00,2.500000e+01,1.023408e+00,1.216089e+02,1.658585e+01,2.259320e+00,6.470327e+00,2.806224e+00,7.978689e+00,4.977269e+00,1.226099e+01,1.690202e+01,5.882275e+00,2.814819e+01,6.952343e+00,4.377024e+00,2.758915e+00,4.857314e-01,5.769646e+01
7.650000e-03,1.625000e+00,2.500000e+01,1.008796e+00,1.216089e+02,1.617542e+01,2.259320e+00,6.564045e+00,2.846870e+00,8.094255e+00,5.049362e+00,1.243858e+01,1.714683e+01,5.967476e+00,2.710747e+01,7.053043e+00,4.440422e+00,2.798875e+00,4.927668e-01,5.708372e+01
7.650000e-03,1.700000e+00,2.500000e+01,9.945489e-01,1.216097e+02,1.577515e+01,2.259320e+00,6.658076e+00,2.887652e+00,8.210169e+00,5.121670e+00,1.261677e+01,1.739247e+01,6.053118e+00,2.606281e+01,7.154235e+00,4.504246e+00,2.838970e+00,4.998258e-01,5.646866e+01
7.650000e-03,1.775000e+00,2.500000e+01,9.806940e-01,1.216097e+02,1.538598e+01,2.259320e+00,6.752139e+00,2.928447e+00,8.326158e+00,5.194026e+00,1.279501e+01,1.763818e+01,6.138634e+00,2.501825e+01,7.255307e+00,4.567881e+00,2.879078e+00,5.068871e-01,5.585367e+01
7.650000e-03,1.850000e+00,2.500000e+01,9.672798e-01,1.216089e+02,1.500927e+01,2.259320e+00,6.845776e+00,2.969058e+00,8.441663e+00,5.266082e+00,1.297245e+01,1.788278e+01,6.223602e+00,2.397890e+01,7.355762e+00,4.631008e+00,2.919004e+00,5.139165e-01,5.524174e+01
7.650000e-03,1.925000e+00,2.500000e+01,9.543773e-01,1.216096e+02,1.464677e+01,2.259320e+00,6.938326e+00,3.009198e+00,8.555745e+00,5.337247e+00,1.314783e+01,1.812454e+01,6.307904e+00,2.295067e+01,7.455369e+00,4.693839e+00,2.958467e+00,5.208643e-01,5.463636e+01
7.650000e-03,2.000000e+00,2.500000e+01,9.420012e-01,1.216089e+02,1.429921e+01,2.259320e+00,7.029482e+00,3.048733e+00,8.668194e+00,5.407397e+00,1.332057e+01,1.836266e+01,6.390611e+00,2.193888e+01,7.553154e+00,4.755281e+00,2.997335e+00,5.277074e-01,5.404066e+01
8.300000e-03,5.000000e-01,2.500000e+01,1.466794e+00,1.219440e+02,2.900663e+01,2.266484e+00,4.595813e+00,2.015339e+00,5.566882e+00,3.472735e+00,8.554724e+00,1.179286e+01,4.104173e+00,4.972892e+01,4.850778e+00,3.053928e+00,1.924947e+00,3.389040e-01,7.040268e+01
8.300000e-03,5.750000e-01,2.500000e+01,1.401635e+00,1.219440e+02,2.717640e+01,2.266484e+00,4.809460e+00,2.109026e+00,5.825670e+00,3.634172e+00,8.952409e+00,1.234107e+01,4.294965e+00,4.739196e+01,5.076277e+00,3.195897e+00,2.014433e+00,3.546587e-01,6.902679e+01
8.300000e-03,6.500000e-01,2.500000e+01,1.350972e+00,1.219440e+02,2.575330e+01,2.266484e+00,4.989822e+00,2.188118e+00,6.044142e+00,3.770460e+00,9.288138e+00,1.280388e+01,4.456033e+00,4.541908e+01,5.266646e+00,3.315748e+00,2.089977e+00,3.679589e-01,6.786524e+01
8.300000e-03,7.250000e-01,2.500000e+01,1.310215e+00,1.219440e+02,2.460847e+01,2.266484e+00,5.145040e+00,2.256184e+00,6.232157e+00,3.887747e+00,9.577064e+00,1.320217e+01,4.594647e+00,4.372123e+01,5.430475e+00,3.418891e+00,2.154990e+00,3.794050e-01,6.686563e+01
8.300000e-03,8.000000e-01,2.500000e+01,1.276442e+00,1.219440e+02,2.365983e+01,2.266484e+00,5.281170e+00,2.315879e+00,6.397050e+00,3.990611e+00,9.830458e+00,1.355148e+01,4.716214e+00,4.223218e+01,5.574157e+00,3.509350e+00,2.212007e+00,3.894435e-01,6.598894e+01
8.300000e-03,8.750000e-01,2.500000e+01,1.247699e+00,1.219440e+02,2.285245e+01,2.266484e+00,5.402833e+00,2.369230e+00,6.544420e+00,4.082543e+00,1.005692e+01,1.386367e+01,4.824861e+00,4.090138e+01,5.702570e+00,3.590195e+00,2.262966e+00,3.984151e-01,6.520543e+01
8.300000e-03,9.500000e-01,2.500000e+01,1.222633e+00,1.219448e+02,2.214829e+01,2.266484e+00,5.513598e+00,2.417802e+00,6.678571e+00,4.166228e+00,1.026310e+01,1.414789e+01,4.923906e+00,3.968938e+01,5.819607e+00,3.663973e+00,2.309359e+00,4.065832e-01,6.449186e+01
8.300000e-03,1.025000e+00,2.500000e+01,1.200250e+00,1.219440e+02,2.151966e+01,2.266484e+00,5.616418e+00,2.462890e+00,6.803134e+00,4.243934e+00,1.045449e+01,1.441173e+01,5.015598e+00,3.856509e+01,5.928004e+00,3.732123e+00,2.352425e+00,4.141653e-01,6.382993e+01
8.300000e-03,1.100000e+00,2.500000e+01,1.179862e+00,1.219440e+02,2.094697e+01,2.266484e+00,5.713471e+00,2.505450e+00,6.920694e+00,4.317270e+00,1.063515e+01,1.466076e+01,5.102269e+00,3.750348e+01,6.030442e+00,3.796616e+00,2.393076e+00,4.213221e-01,6.320490e+01
8.300000e-03,1.175000e+00,2.500000e+01,1.160935e+00,1.219440e+02,2.041533e+01,2.266484e+00,5.806618e+00,2.546296e+00,7.033522e+00,4.387655e+00,1.080854e+01,1.489978e+01,5.185452e+00,3.648459e+01,6.128757e+00,3.858512e+00,2.432090e+00,4.281910e-01,6.260503e+01
8.300000e-03,1.250000e+00,2.500000e+01,1.143081e+00,1.219440e+02,1.991382e+01,2.266484e+00,5.897314e+00,2.586068e+00,7.143382e+00,4.456188e+00,1.097736e+01,1.513251e+01,5.266445e+00,3.549252e+01,6.224484e+00,3.918780e+00,2.470078e+00,4.348791e-01,6.202094e+01
8.300000e-03,1.325000e+00,2.500000e+01,1.126014e+00,1.219440e+02,1.943443e+01,2.266484e+00,5.986697e+00,2.625264e+00,7.251651e+00,4.523728e+00,1.114374e+01,1.536186e+01,5.346267e+00,3.451480e+01,6.318827e+00,3.978176e+00,2.507516e+00,4.414704e-01,6.144530e+01
8.300000e-03,1.400000e+00,2.500000e+01,1.109531e+00,1.219440e+02,1.897146e+01,2.266484e+00,6.075631e+00,2.664263e+00,7.359376e+00,4.590930e+00,1.130928e+01,1.559007e+01,5.425687e+00,3.354200e+01,6.412694e+00,4.037273e+00,2.544766e+00,4.480285e-01,6.087256e+01
8.300000e-03,1.475000e+00,2.500000e+01,1.093495e+00,1.219440e+02,1.852100e+01,2.266484e+00,6.164734e+00,2.703336e+00,7.467306e+00,4.658258e+00,1.147514e+01,1.581871e+01,5.505258e+00,3.256735e+01,6.506741e+00,4.096482e+00,2.582086e+00,4.545991e-01,6.029874e+01
8.300000e-03,1.550000e+00,2.500000e+01,1.077817e+00,1.219440e+02,1.808062e+01,2.266484e+00,6.254405e+00,2.742658e+00,7.575924e+00,4.726016e+00,1.164205e+01,1.604880e+01,5.585336e+00,3.158649e+01,6.601387e+00,4.156069e+00,2.619645e+00,4.612116e-01,5.972125e+01
8.300000e-03,1.625000e+00,2.500000e+01,1.062453e+00,1.219440e+02,1.764907e+01,2.266484e+00,6.344848e+00,2.782319e+00,7.685477e+00,4.794358e+00,1.181041e+01,1.628088e+01,5.666104e+00,3.059718e+01,6.696848e+00,4.216169e+00,2.657526e+00,4.678811e-01,5.913879e+01
8.300000e-03,1.700000e+00,2.500000e+01,1.083122e+00,1.213306e+02,1.829098e+01,2.266485e+00,6.223771e+00,2.729225e+00,7.102097e+00,4.414106e+00,1.158503e+01,1.597020e+01,5.619084e+00,3.216206e+01,6.743061e+00,4.385602e+00,2.606814e+00,4.589526e-01,6.012014e+01
8.300000e-03,1.775000e+00,2.500000e+01,1.032638e+00,1.219440e+02,1.681160e+01,2.266484e+00,6.528038e+00,2.862651e+00,7.907374e+00,4.932782e+00,1.215140e+01,1.675094e+01,5.829697e+00,2.859337e+01,6.890201e+00,4.337900e+00,2.734255e+00,4.813898e-01,5.795904e+01
8.300000e-03,1.850000e+00,2.500000e+01,1.018226e+00,1.219440e+02,1.640676e+01,2.266484e+00,6.620440e+00,2.903170e+00,8.019300e+00,5.002603e+00,1.232340e+01,1.698805e+01,5.912214e+00,2.758264e+01,6.987729e+00,4.399301e+00,2.772957e+00,4.882037e-01,5.736396e+01
8.300000e-03,1.925000e+00,2.500000e+01,1.004189e+00,1.219440e+02,1.601249e+01,2.266484e+00,6.712978e+00,2.943750e+00,8.131391e+00,5.072528e+00,1.249565e+01,1.722550e+01,5.994853e+00,2.657041e+01,7.085401e+00,4.460794e+00,2.811717e+00,4.950277e-01,5.676801e+01
8.300000e-03,2.000000e+00,2.500000e+01,9.905712e-01,1.219440e+02,1.562998e+01,2.266484e+00,6.805265e+00,2.984219e+00,8.243177e+00,5.142263e+00,1.266743e+01,1.746231e+01,6.077267e+00,2.556094e+01,7.182808e+00,4.522119e+00,2.850371e+00,5.018330e-01,5.617368e+01
8.950000e-03,5.000000e-01,2.500000e+01,1.581366e+00,1.222800e+02,3.219125e+01,2.273648e+00,4.338294e+00,1.922552e+00,5.163550e+00,3.221128e+00,7.934926e+00,1.093845e+01,3.806921e+00,5.324211e+01,4.499432e+00,2.832802e+00,1.785483e+00,3.143502e-01,7.247139e+01
8.950000e-03,5.750000e-01,2.500000e+01,1.504443e+00,1.222791e+02,3.003063e+01,2.273648e+00,4.560113e+00,2.020853e+00,5.427572e+00,3.385830e+00,8.340642e+00,1.149774e+01,4.001466e+00,5.085170e+01,4.729387e+00,2.977503e+00,1.876776e+00,3.304230e-01,7.106404e+01
8.950000e-03,6.500000e-01,2.500000e+01,1.444739e+00,1.222791e+02,2.835361e+01,2.273648e+00,4.748558e+00,2.104364e+00,5.651865e+00,3.525749e+00,8.685317e+00,1.197288e+01,4.166826e+00,4.882065e+01,4.924828e+00,3.100547e+00,1.954333e+00,3.440777e-01,6.986827e+01
8.950000e-03,7.250000e-01,2.500000e+01,1.396868e+00,1.222791e+02,2.700896e+01,2.273648e+00,4.911292e+00,2.176481e+00,5.845555e+00,3.646576e+00,8.982963e+00,1.238319e+01,4.309624e+00,4.706673e+01,5.093603e+00,3.206804e+00,2.021308e+00,3.558692e-01,6.883566e+01
8.950000e-03,8.000000e-01,2.500000e+01,1.357405e+00,1.222791e+02,2.590048e+01,2.273648e+00,5.054074e+00,2.239756e+00,6.015498e+00,3.752591e+00,9.244119e+00,1.274320e+01,4.434914e+00,4.552784e+01,5.241685e+00,3.300033e+00,2.080072e+00,3.662152e-01,6.792964e+01
8.950000e-03,8.750000e-01,2.500000e+01,1.324060e+00,1.222791e+02,2.496385e+01,2.273649e+00,5.181355e+00,2.296162e+00,6.166992e+00,3.847095e+00,9.476921e+00,1.306412e+01,4.546602e+00,4.415602e+01,5.373691e+00,3.383141e+00,2.132457e+00,3.754379e-01,6.712198e+01
8.950000e-03,9.500000e-01,2.500000e+01,1.295241e+00,1.222791e+02,2.415434e+01,2.273649e+00,5.296640e+00,2.347252e+00,6.304207e+00,3.932693e+00,9.687783e+00,1.335480e+01,4.647764e+00,4.291349e+01,5.493256e+00,3.458416e+00,2.179904e+00,3.837913e-01,6.639045e+01
8.950000e-03,1.025000e+00,2.500000e+01,1.269805e+00,1.222791e+02,2.343988e+01,2.273649e+00,5.402738e+00,2.394270e+00,6.430488e+00,4.011470e+00,9.881840e+00,1.362231e+01,4.740864e+00,4.176999e+01,5.603293e+00,3.527692e+00,2.223570e+00,3.914791e-01,6.571721e+01
8.950000e-03,1.100000e+00,2.500000e+01,1.246913e+00,1.222791e+02,2.279686e+01,2.273649e+00,5.501927e+00,2.438226e+00,6.548544e+00,4.085116e+00,1.006326e+01,1.387240e+01,4.827901e+00,4.070095e+01,5.706163e+00,3.592457e+00,2.264392e+00,3.986662e-01,6.508781e+01
8.950000e-03,1.175000e+00,2.500000e+01,1.225937e+00,1.222791e+02,2.220766e+01,2.273649e+00,5.596066e+00,2.479945e+00,6.660592e+00,4.155014e+00,1.023545e+01,1.410976e+01,4.910509e+00,3.968632e+01,5.803798e+00,3.653925e+00,2.303136e+00,4.054876e-01,6.449045e+01
8.950000e-03,1.250000e+00,2.500000e+01,1.206402e+00,1.222791e+02,2.165893e+01,2.273649e+00,5.686682e+00,2.520102e+00,6.768446e+00,4.222295e+00,1.040119e+01,1.433824e+01,4.990023e+00,3.870967e+01,5.897777e+00,3.713092e+00,2.340431e+00,4.120535e-01,6.391546e+01
8.950000e-03,1.325000e+00,2.500000e+01,1.187949e+00,1.222791e+02,2.114060e+01,2.273649e+00,5.775016e+00,2.559248e+00,6.873583e+00,4.287882e+00,1.056275e+01,1.456096e+01,5.067536e+00,3.775762e+01,5.989390e+00,3.770770e+00,2.376786e+00,4.184541e-01,6.335494e+01
8.950000e-03,1.400000e+00,2.500000e+01,1.170308e+00,1.222791e+02,2.064508e+01,2.273649e+00,5.862067e+00,2.597825e+00,6.977194e+00,4.352516e+00,1.072197e+01,1.478045e+01,5.143923e+00,3.681939e+01,6.079673e+00,3.827610e+00,2.412613e+00,4.247618e-01,6.280256e+01
8.950000e-03,1.475000e+00,2.500000e+01,1.153279e+00,1.222792e+02,2.016677e+01,2.273649e+00,5.948622e+00,2.636183e+00,7.080213e+00,4.416782e+00,1.088028e+01,1.499869e+01,5.219873e+00,3.588652e+01,6.169440e+00,3.884125e+00,2.448235e+00,4.310335e-01,6.225333e+01
8.950000e-03,1.550000e+00,2.500000e+01,1.136721e+00,1.222792e+02,1.970168e+01,2.273649e+00,6.035271e+00,2.674582e+00,7.183346e+00,4.481118e+00,1.103877e+01,1.521716e+01,5.295907e+00,3.495263e+01,6.259307e+00,3.940703e+00,2.483897e+00,4.373120e-01,6.170350e+01
8.950000e-03,1.625000e+00,2.500000e+01,1.120546e+00,1.222800e+02,1.924723e+01,2.273649e+00,6.122394e+00,2.713191e+00,7.287020e+00,4.545791e+00,1.119812e+01,1.543683e+01,5.372497e+00,3.401320e+01,6.349802e+00,3.997780e+00,2.519753e+00,4.436249e-01,6.115041e+01
8.950000e-03,1.700000e+00,2.500000e+01,1.104672e+00,1.222792e+02,1.880143e+01,2.273649e+00,6.210370e+00,2.752179e+00,7.391753e+00,4.611127e+00,1.135903e+01,1.565865e+01,5.449555e+00,3.306543e+01,6.440905e+00,4.055033e+00,2.555961e+00,4.499996e-01,6.059242e+01
8.950000e-03,1.775000e+00,2.500000e+01,1.089095e+00,1.222792e+02,1.836389e+01,2.273649e+00,6.299195e+00,2.791542e+00,7.497475e+00,4.677078e+00,1.152150e+01,1.588261e+01,5.527499e+00,3.210808e+01,6.533028e+00,4.113032e+00,2.592518e+00,4.564358e-01,6.002879e+01
8.950000e-03,1.850000e+00,2.500000e+01,1.073803e+00,1.222792e+02,1.793435e+01,2.273649e+00,6.388901e+00,2.831296e+00,7.604246e+00,4.743684e+00,1.168557e+01,1.610879e+01,5.606215e+00,3.114125e+01,6.626064e+00,4.171605e+00,2.629438e+00,4.629358e-01,5.945956e+01
8.950000e-03,1.925000e+00,2.500000e+01,1.058810e+00,1.222792e+02,1.751321e+01,2.273649e+00,6.479368e+00,2.871388e+00,7.711922e+00,4.810855e+00,1.185104e+01,1.633690e+01,5.685600e+00,3.016620e+01,6.719890e+00,4.230676e+00,2.666671e+00,4.694910e-01,5.888551e+01
8.950000e-03,2.000000e+00,2.500000e+01,1.044142e+00,1.222792e+02,1.710120e+01,2.273649e+00,6.570390e+00,2.911725e+00,7.820259e+00,4.878437e+00,1.201752e+01,1.656639e+01,5.765470e+00,2.918518e+01,6.814290e+00,4.290108e+00,2.704132e+00,4.760864e-01,5.830793e+01
9.600000e-03,5.000000e-01,2.500000e+01,1.711267e+00,1.226143e+02,3.580661e+01,2.280813e+00,4.078703e+00,1.825799e+00,4.771597e+00,2.976620e+00,7.332593e+00,1.010812e+01,3.517850e+00,5.667284e+01,4.157794e+00,2.617641e+00,1.649950e+00,2.904882e-01,7.449151e+01
9.600000e-03,5.750000e-01,2.500000e+01,1.620891e+00,1.226143e+02,3.326801e+01,2.280813e+00,4.306120e+00,1.927601e+00,5.037648e+00,3.142588e+00,7.741439e+00,1.067173e+01,3.713996e+00,5.425704e+01,4.389621e+00,2.763594e+00,1.741946e+00,3.066850e-01,7.306923e+01
